,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,
22,b,,,,b,,,,rd,,,,,b,sp,sp,sp,b,,,,,,,,,,,,,,b,
21,b,,ai,rs,b,,rs,,b,,,,,,,,,b,,,,,,,,,,,,,,b,
20,b,,,,b,,,,bd,,,,,b,sp,,sp,b,,,,,,,,,,,,,,b,
19,b,b,rd,b,b,,,,b,b,b,b,b,b,b,rs,b,b,,,,,,,,,,,,,,b,
18,b,,,,b,b,bd,b,b,b,b,b,b,b,b,,b,b,,,,,,,,,,,,,,b,
17,b,,rs,,rd,,,,b,,,,,,bs,,b,b,,,,,,,,,,,,,,b,
16,b,,,,b,,bs,,b,b,bd,b,rd,b,b,b,b,b,,,,,,,,,,,,,,b,
15,b,,,,b,,,,b,,,,,,b,,,,,,,,,,,,,,,,,b,
14,b,b,b,b,b,b,b,b,b,b,rs,b,bs,b,b,,,,,,,,,,,,,,,,,b,
13,b,,,,,,,,bs,,,,,,b,,,,,,,,,,,,,,,,,b,
12,b,sp,sp,,sp,sp,sp,sp,b,b,b,b,b,b,b,,,,,,,,,,,,,,,,,b,
11,b,b,b,bd,b,b,b,b,b,,,,,,,,,,,,,,,,,,,,,,,b,
10,b,,,,,b,,,b,,,,,,,,,,,,,,,,,,,,,,,b,
9,b,,,rs,,rd,,fg,b,,,,,,,,,,,,,,,,,,,,,,,b,
8,b,b,b,b,b,b,b,b,b,,,,,,,,,,,,,,,,,,,,,,,b,
7,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,
6,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,
5,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,
4,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,
3,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,
2,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,
1,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,
0,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,
